Lokation;Lagerområde;Lager del-område;ABC Indikator;Længde;Bredde;Højde;Volumen;Lokationstype
BCL40135793;Web;BCL4;;;;;;1
BCL40002897;Web;BCL4;;;;;;1
BCL40138078;Web;BCL4;;;;;;1
BCL40144008;Web;BCL4;;;;;;1
BCL40135796;Web;BCL4;;;;;;1
BCL40003583;Web;BCL4;;;;;;1
BCL40138080;Web;BCL4;;;;;;1
BCL40144012;Web;BCL4;;;;;;1
BCL40135798;Web;BCL4;;;;;;1
BCL40003769;Web;BCL4;;;;;;1
BCL40138082;Web;BCL4;;;;;;1
BCL40144014;Web;BCL4;;;;;;1
BCL40135801;Web;BCL4;;;;;;1
BCL40003895;Web;BCL4;;;;;;1
BCL40138084;Web;BCL4;;;;;;1
BCL40144021;Web;BCL4;;;;;;1
BCL40135803;Web;BCL4;;;;;;1
BCL40003950;Web;BCL4;;;;;;1
BCL40138099;Web;BCL4;;;;;;1
BCL40144023;Web;BCL4;;;;;;1
BCL40135809;Web;BCL4;;;;;;1
BCL40004340;Web;BCL4;;;;;;1
BCL40138105;Web;BCL4;;;;;;1
BCL40144029;Web;BCL4;;;;;;1
BCL40135810;Web;BCL4;;;;;;1
BCL40004581;Web;BCL4;;;;;;1
BCL40138109;Web;BCL4;;;;;;1
BCL40144033;Web;BCL4;;;;;;1
BCL40135812;Web;BCL4;;;;;;1
BCL40004632;Web;BCL4;;;;;;1
BCL40138111;Web;BCL4;;;;;;1
BCL40144039;Web;BCL4;;;;;;1
BCL40135818;Web;BCL4;;;;;;1
BCL40005005;Web;BCL4;;;;;;1
BCL40138113;Web;BCL4;;;;;;1
BCL40144044;Web;BCL4;;;;;;1
BCL40135821;Web;BCL4;;;;;;1
BCL40005269;Web;BCL4;;;;;;1
BCL40138121;Web;BCL4;;;;;;1
BCL40144045;Web;BCL4;;;;;;1
BCL40135823;Web;BCL4;;;;;;1
BCL40005719;Web;BCL4;;;;;;1
BCL40138123;Web;BCL4;;;;;;1
BCL40144056;Web;BCL4;;;;;;1
BCL40135829;Web;BCL4;;;;;;1
BCL40005721;Web;BCL4;;;;;;1
BCL40138131;Web;BCL4;;;;;;1
BCL40144057;Web;BCL4;;;;;;1
BCL40135830;Web;BCL4;;;;;;1
BCL40005741;Web;BCL4;;;;;;1
BCL40138133;Web;BCL4;;;;;;1
BCL40144061;Web;BCL4;;;;;;1
BCL40135832;Web;BCL4;;;;;;1
BCL40005743;Web;BCL4;;;;;;1
BCL40138155;Web;BCL4;;;;;;1
BCL40144063;Web;BCL4;;;;;;1
BCL40135838;Web;BCL4;;;;;;1
BCL40005752;Web;BCL4;;;;;;1
BCL40138159;Web;BCL4;;;;;;1
BCL40144069;Web;BCL4;;;;;;1
BCL40135840;Web;BCL4;;;;;;1
BCL40005763;Web;BCL4;;;;;;1
BCL40138165;Web;BCL4;;;;;;1
BCL40144076;Web;BCL4;;;;;;1
BCL40135847;Web;BCL4;;;;;;1
BCL40005775;Web;BCL4;;;;;;1
BCL40138171;Web;BCL4;;;;;;1
BCL40144077;Web;BCL4;;;;;;1
BCL40135848;Web;BCL4;;;;;;1
BCL40005791;Web;BCL4;;;;;;1
BCL40138173;Web;BCL4;;;;;;1
BCL40144081;Web;BCL4;;;;;;1
BCL40135856;Web;BCL4;;;;;;1
BCL40005799;Web;BCL4;;;;;;1
BCL40138190;Web;BCL4;;;;;;1
BCL40144085;Web;BCL4;;;;;;1
BCL40135857;Web;BCL4;;;;;;1
BCL40005806;Web;BCL4;;;;;;1
BCL40138194;Web;BCL4;;;;;;1
BCL40144094;Web;BCL4;;;;;;1
BCL40135864;Web;BCL4;;;;;;1
BCL40005819;Web;BCL4;;;;;;1
BCL40138196;Web;BCL4;;;;;;1
BCL40144095;Web;BCL4;;;;;;1
BCL40135865;Web;BCL4;;;;;;1
BCL40005833;Web;BCL4;;;;;;1
BCL40138197;Web;BCL4;;;;;;1
BCL40144118;Web;BCL4;;;;;;1
BCL40135871;Web;BCL4;;;;;;1
BCL40005837;Web;BCL4;;;;;;1
BCL40138198;Web;BCL4;;;;;;1
BCL40144120;Web;BCL4;;;;;;1
BCL40135873;Web;BCL4;;;;;;1
BCL40005843;Web;BCL4;;;;;;1
BCL40138205;Web;BCL4;;;;;;1
